"DLM 发料回调业务状态异常：{0}","Estado de negocio anómalo en la devolución de emisión a DLM: {0}"
"DLM 发料回调失败","Falló la devolución de emisión a DLM"
"DLM 发料回调字段不完整","Los campos de la devolución de emisión a DLM están incompletos"
"DLM 发料回调接口响应不是 JSON，请查看 Error Log","La respuesta del endpoint de devolución de emisión de DLM no es JSON. Revise Error Log"
"DLM 发料回调接口响应格式异常","El formato de respuesta del endpoint de devolución de emisión de DLM es inválido"
"DLM 发料回调接口调用失败：{0}","Error al llamar al endpoint de devolución de emisión de DLM: {0}"
"DLM 推送已返回，但没有收到成功结果，请查看 Error Log 或浏览器控制台。","DLM respondió, pero no se recibió un resultado exitoso. Revise Error Log o la consola del navegador."
"MES HTTP 状态码: {0}","Código HTTP de MES: {0}"
"MES 传入的物料移动必须是草稿状态","La entrada de stock enviada por MES debe estar en estado borrador"
"一张物料移动只能回调一个 Material Request，当前包含：{0}","Una entrada de stock solo puede devolver una Material Request; actualmente contiene: {0}"
"发料","Emitir materiales"
"只有生产中的销售订单才能更新为待收尾款。销售订单 {0} 当前状态：{1}","Solo los pedidos de venta en producción pueden actualizarse a pago final pendiente. Pedido {0}, estado actual: {1}"
"只能通过此接口创建 Stock Entry","Solo se puede crear Stock Entry mediante esta API"
"合计","Total"
"型号","Modelo"
"型号代码","Código de modelo"
"备注","Observaciones"
"库存移动单必须已提交才能推送到 MES","La entrada de stock debe estar enviada para poder enviarla a MES"
"当前物料在物料具体明细中没有记录","No hay detalles registrados para este artículo"
"当前用户没有 MES 接口调用权限","El usuario actual no tiene permiso para llamar a la API de MES"
"当前用户缺少 {0} 的 {1} 权限","El usuario actual no tiene permiso {1} para {0}"
"成功","Éxito"
"成品货号","Código de artículo terminado"
"推送至 DLM 失败，请查看 Error Log。","Error al enviar a DLM. Revise Error Log."
"推送至DLM","Enviar a DLM"
"推送至MES","Enviar a MES"
"提示","Aviso"
"明细行号","Línea"
"未找到销售订单 {0}","No se encontró el pedido de venta {0}"
"正在推送至 DLM，请稍候...","Enviando a DLM, espere..."
"此库存移动单已推送至 MES，无需重复推送","Esta entrada de stock ya fue enviada a MES; no es necesario reenviarla"
"没有可推送到 DLM 的发料明细","No hay líneas de emisión disponibles para enviar a DLM"
"物料","Artículo"
"物料具体明细","Detalles del artículo"
"物料具体明细 - {0}","Detalles del artículo - {0}"
"物料名称","Nombre del artículo"
"物料移动公司必须与销售订单公司一致","La compañía de la entrada de stock debe coincidir con la del pedido de venta"
"物料移动已创建并提交，销售订单已更新为待收尾款。","La entrada de stock fue creada y enviada; el pedido de venta fue actualizado a pago final pendiente."
"物料移动至少需要一行明细","La entrada de stock requiere al menos una línea"
"物料编码","Código de artículo"
"生产信息","Información de producción"
"生产批次号","Lote de producción"
"第 {0} 行数量必须大于 0","La cantidad de la línea {0} debe ser mayor que 0"
"第 {0} 行缺少物料号","La línea {0} no tiene código de artículo"
"第 {0} 行至少需要来源仓库或目标仓库","La línea {0} requiere al menos almacén origen o destino"
"缺少 DLM 接口配置：dlm_material_issue_callback_url","Falta la configuración del endpoint de DLM: dlm_material_issue_callback_url"
"缺少 Stock Entry 数据或数据格式不正确","Faltan datos de Stock Entry o el formato es incorrecto"
"缺少物料移动 Purpose","Falta el Purpose de la entrada de stock"
"缺少请求数据或数据格式不正确","Faltan datos de solicitud o el formato es incorrecto"
"缺少销售订单编号 sales_order","Falta el número de pedido de venta sales_order"
"订单数量","Cantidad del pedido"
"请先关联原生 Material Request，再推送至 DLM","Vincule primero la Material Request nativa antes de enviar a DLM"
"请先选择物料编码","Seleccione primero el código de artículo"
"销售订单 {0} 原生状态为 {1}，不能通过 MES 入库接口处理","El pedido de venta {0} tiene estado nativo {1}; no se puede procesar mediante la API de entrada de MES"
"销售订单 {0} 必须已提交","El pedido de venta {0} debe estar enviado"
"错误","Error"
"错误信息: {0}","Mensaje de error: {0}"
"错误码: {0}","Código de error: {0}"
"颜色","Color"
"颜色代码","Código de color"
"DLM: 已推送","DLM: Enviado"
"DLM: 未推送","DLM: No enviado"
"Semi Finished Goods Receipt","Entrada de productos semiterminados"
"Finished Goods Receipt","Entrada de productos terminados"
"成品入库接口逻辑暂未实现。","La lógica de entrada de productos terminados aún no está implementada."
"物料移动草稿已创建。","Se creó el borrador de entrada de stock."
"缺少物料移动类型 stock_entry_type","Falta el tipo de entrada de stock stock_entry_type"
"MES 入库接口仅支持移动类型：{0}","La API de entrada de MES solo admite los tipos: {0}"
"缺少物料移动公司","Falta la compañía de la entrada de stock"
"第 {0} 行缺少目标仓库","La línea {0} no tiene almacén destino"
"物料移动草稿已创建，可在 ERP 审核后直接提交。","Se creó el borrador de entrada de stock y puede enviarse directamente tras la revisión en ERP."
"第 {0} 行缺少单位换算系数，且物料 {1} 没有单位 {2} 的换算设置","La línea {0} no tiene factor de conversión y el artículo {1} no tiene configuración para la unidad {2}"
"保存并提交","Guardar y enviar"
"确认保存并提交此物料移动？","¿Confirmar guardar y enviar esta entrada de stock?"
"需求量","Cantidad requerida"
