"Semi Finished Goods Receipt","半成品入库"
"Finished Goods Receipt","成品入库"
"成品入库接口逻辑暂未实现。","成品入库接口逻辑暂未实现。"
"物料移动草稿已创建。","物料移动草稿已创建。"
"缺少物料移动类型 stock_entry_type","缺少物料移动类型 stock_entry_type"
"MES 入库接口仅支持移动类型：{0}","MES 入库接口仅支持移动类型：{0}"
"缺少物料移动公司","缺少物料移动公司"
"第 {0} 行缺少目标仓库","第 {0} 行缺少目标仓库"
"物料移动草稿已创建，可在 ERP 审核后直接提交。","物料移动草稿已创建，可在 ERP 审核后直接提交。"
"第 {0} 行缺少单位换算系数，且物料 {1} 没有单位 {2} 的换算设置","第 {0} 行缺少单位换算系数，且物料 {1} 没有单位 {2} 的换算设置"
"需求量","需求量"
"Material Issue","物料发料"
"MES Delivery Note Draft Create","MES 创建销售出库草稿"
"Document Submitted","单据已提交"
"Document Created","单据已创建"
"Stock Entry Issue Confirm","物料移动发料确认"
"Batch No","批次号"
"Material Request Created","领料申请"
"Ready to Deliver","可发货"
"Pending Release","待放行发货"
"发货放行状态","发货放行状态"
"销售出库关联的销售订单尚未全部放行发货，不能提交。","销售出库关联的销售订单尚未全部放行发货，不能提交。"
"Delivered","已发货"
